Product Name,Seller,Location,Price,Sold,Rating,Link
Apple iPhone 13 Pro Max Promax 128GB 256GB 512GB 1TB 128 256 512 1 TB,chocoapple,Jakarta Pusat,Rp17.475.000,Terjual 500+,5.0,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_URo_Hp6AHfbm-xgVY789CBUsthbm-FQRo2PcB5QiUEHZFiPcBWgZUEH_yO6_eOo_yfoZFiyRCsUstfo_nDUMVj9RosQR-BUstp6AKXHsHNHsJFosJhH_ydHAyDUSHp9fh5gaUEUMuNZM2jZJ2M33NGPMep_Mh-qMY2_9j7P7OJgRBvucrp_Bzu8JYJ3_ooqjB2_JoGqMzUZMgsHBgtyfO6Q7BkQfB61pea_92-H1YJZ92oqjBE_BzsP7O1qfBHe72a3BxDHfUpZMWyH7NkysoGQJBkQfBoe7BpZ37OPM-W_Mh-qMY2_7Pqq1Y1_92ozJV7_jzZqJN2HACoQujh_VPGQuBEz9zozJ-t_7zCHJYIu9xvuO-2Z3BRq3UpZSCqHMhO3A-ZQcoc69Cqe7jfZ32Cq1hAZSgsQ3hXyurOgMoUZSgqZVgkgJyNrV2AZ_g-qjV2_JoGPMoWQcNxupuMyp-tPMoc69Cqe7jfZ32Cq1hAZSxjuOgNguyNHVB9gI2-qMY2yjzGrfUpgAxMZJdFyBxd6c-JzSoiHfedgjPR8BxE_9P6uVydgjP6q1B2PfBsHjNfyfO3gBBXZSgjH7NDZ325q1OEZ9PHqjjO_uzzo1OEu_z68Mod_OzCHjB2PfBsHjNfyfO3gMHauMxsQ1N5Z325q1OEgpzHqjBE_Oz-8JOJ39xouJ1a_7zCHjBXHA7ibm-Orfua9fBjUstiHmUDUMVDgaUEUSo7QuYDHOYDHBYDHZUDUMNOQ3-BrBY5gBYxgIHi6sUFbm-XP3Oig9-wy3zp9R-BrZUEHsnDUMoxPVY2gIHi6BDfoZFaomFpHA1O9ZFiQBYsy3Njq3zxPcuwy3zpUstNHmFiy3-wPcupPmUEUjdibm-FQRo79fVDgaUEUMoFyOYpqcYF9RuXrZUDUSgBrSo2Qfdi6i-fHiUDUMoDP9o7g9-wq3zwPsUi6s176_yDUMoxPcuSQR-N9RoOgfPBrRzwy9z7rMBiP9zBUs2QUsHFo_1i9ZFirI-2yfuwyMBjUstfo_nDUMP5y3hwq3ei6sUDUMg2QMVD9R-BQI-xQMWwy3zpyfYagZUEosKRbsHNo_Hh6_HRoArposKDUSVOg9-N9R-BQI-xQMWwrfo5rM1i6snXoprFo_eO6AeFHsypHpyfoR7?keywords=iphone+13&ob=23&is_search=1&t=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Fchocoapple%2Fapple-iphone-13-pro-max-promax-128gb-256gb-512gb-1tb-128-256-512-1-tb-128gb-gold%3FextParam%3Divf%253Dfalse%26src%3Dtopads&management_type=1&page=1&dv=desktop&src=search
Adaptor Charger Iphone 13 PRO 13 PRO MAX USB C PD Fast Charging 20W,daffin,Jakarta Barat,Rp115.000,Terjual 60+,4.9,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_ea6_rNH_17bm-xgVY789CBUsthbm-FQRo2PcB5QiUEHiFiPcBWgZUEH_yO6_eOo_yfoZFiyRCsUst7Hs1Fbm-xgVYpyfYagZUEoAeFbsJp6_JFoA1posyO6_j7bm-pHOYDQfri6i-B812kgJxGgBBXZSgjH7NDZ325q1OAoAC68MDa_uzg8jOJ3_u6uVJF_92gHJB2PfBgHO-N3Ao6QVByZM2xe7jfZ32-P1OEu_-vuJVN_92uHjY1e9Bo8B1pZ3BRq3JausujHsBN3jyN8Bja69Bq17jfZ32Cq1hAZSuiHsuk3Bo-ojBkqcOgqMWE_92CP7h11_CguVB7_jzGQ1N_H3BqQ1Od_VzCPOB1gRP6zcxD_uzDqOB2Z9o-Q_BNyuPjrc-D63Wq3J-MyuPzq1Y2Z9P-q9P2ysoGrVtaQIuyH7-Nys-ZHujp1MgxuOV2_fB-P7B2PfBiH72F3s-DPuKp_MYiH7-MyuPzq1Y2Z9P-q9P2yOx3QcoXQcgjz7gXyRB-ojBX_sCi3IKdyjzcrfUpgAxMz7N2Z3BRq3Ha_SgsQugM33NGPMep_Mh-qMY2_92-o1hk1926qMPE_jzgH7O1Z9Bo8j1hZ3BRq3Ha_SgsQugMyp-3qcoW_MY-qMY2_jzzP7hkz92vuJuR_jzu8jNk3_VvucDFZ3dFvZUDUSupg9-wq3ei6iUFUiFiy3hSUstirRzW9fFhQcYRUiFiQSuWyMua9fYM9fVjraUEHsnDUMNOQ3-BrBYxgIowrMuhUstaHmFiyfV79fBjraUE3pyObAyfbArF9ZFiQBYsy3Njq3zxPcuwy3zpUstNHmFiy3-wPcupPmUEUjdibm-FQRo79fVDgaUEUMoFyOYpqcYF9RuXrZUDUSgBrSo2Qfdi6i-fHiUDUMoDP9o7g9-wq3zwPsUi6seRHpUpbm-sy9zBgfYa8uYpP3PSg9o79fV7PI-2ySu7gZUE3aUpHA1OUB7DUSCaq3oB9f-2gmUEoAUOHmFigfYxQVY2gmUEHiFigMBXy3hwrMuDrMVXqOYxgIosQR-BUstfop1XHpedosrOH_yF6_eO6mFir9uBrSBwrMuDrMVXqOYpyfYagZUEHmdOHpep6_Kao_rRHpUp6_J7we?keywords=iphone+13&page=1&management_type=1&ob=23&t=desktop&dv=desktop&src=search&is_search=1&r=https%3A%2F%2Fwww.tokopedia.com%2Fdaffinjannes%2Fadaptor-charger-iphone-13-pro-13-pro-max-usb-c-pd-fast-charging-20w-kabel-1m-only%3FextParam%3Divf%253Dfalse%26src%3Dtopads
NEW Apple iPhone 13 128GB 256GB 512GB 128 256 512 GB Garansi 1 Tahun,chocoapple,Jakarta Pusat,Rp12.625.000,Terjual 100+,4.9,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_URo_Hp6AHdbm-xgVY789CBUsthbm-FQRo2PcB5QiUEHaFiPcBWgZUEH_yO6_eOo_yfoZFiyRCsUstOHAnDUMVj9RosQR-BUstpopyXoAnfHsH7o_jpHAUOoAHDUSHp9fh5gaUEUMuNZM2jZJ2M33NGPMep_Mh-qMY2_9j7oJOku9xo8Bja_uz-P7Okz_z6ucP2_JoGqMzUZMgsHBgtyfO6Q7BkQfBo8_eF_OzoHJNJqpovzJ1a_Bz08jYJgpC-q9P2y_-3o3ea69BqzsBE3_UN8u2_Z_g-qjV2_JoGP3Uao32q17jfZ32tQuBkqR2o8jVR_VzzHVB139z6zJ2W_BHhqu2W_9xHuJVR3uzSP7NJqchouch033B-r7BW69BxufzFyMFNqO2yeMgxuOV2_fB-P7B2PfBiH72F3s-DPuKpeSBiHBUh3_oZgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Ao6QfUpeMgxuOV2_fB-P7B2PfBs3VgDyfNDgMzIzMNs81jfZ3OR83-I6_oMZIxEgJrh6cgIPRxizpjpgjxdr77h6I2ozV1hgjxdqBB2Z9o-QjNkysoGQVKaZSBiHfzE3Bo-ojBk_9xvepzE_BzgoJNJgp-ozcrh_92gHJNAZ9o-QjNkysoGQVKp_Mhg3J2ky1o-ojBk__o6q_eF_1zg81OE1_VvuJOR_32uHJONZsjibm-Orfua9fBjUstiHmUDUMVDgaUEUSo7QuYDHOYDHBYDHZUDUMNOQ3-BrBY5gBYxgIHi6sUFbm-XP3Oig9-wy3zp9R-BrZUEHsnDUMoxPVY2gIHi6BDfoZFaomFpHA1O9ZFiQBYsy3Njq3zxPcuwy3zpUstNHmFiy3-wPcupPmUEUjdibm-FQRo79fVDgaUEUMoFyOYpqcYF9RuXrZUDUSgBrSo2Qfdi6i-fHiUDUMoDP9o7g9-wq3zwPsUi6s176_yDUMoxPcuSQR-N9RoOgfPBrRzwy9z7rMBiP9zBUs2QUsHFo_1i9ZFirI-2yfuwyMBjUstOHAnDUMP5y3hwq3ei6sUDUMg2QMVD9R-BQI-xQMWwy3zpyfYagZUEosrObsjO6_jFope7o_1OHAJDUSVOg9-N9R-BQI-xQMWwrfo5rM1i6snXopjO6AUOoAKhoAJ7opj7697?r=https%3A%2F%2Fwww.tokopedia.com%2Fchocoapple%2Fnew-apple-iphone-13-128gb-256gb-512gb-128-256-512-gb-garansi-1-tahun-128gb-starlight%3FextParam%3Divf%253Dfalse%26src%3Dtopads&ob=23&src=search&is_search=1&management_type=1&page=1&dv=desktop&keywords=iphone+13&t=desktop
"New iPhone 13 Mini 128 / 256 / 512 Starlight,Midnight, Blue, Pink, Red - RED, 128 gb",tokohapedia,Jakarta Pusat,Rp11.699.000,Terjual 100+,4.9,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_UfHpUf6AUdbm-xgVY789CBUsthbm-FQRo2PcB5QiUEomFiPcBWgZUEH_yO6_eOo_yfoZFiyRCsUsthHAnFbm-xgVYpyfYagZUEHpyRbsyNopeN6AJFosndHAjDUSHp9fh5gaUEUMuNZM2jZJ2M33NGPMep_Mh-qMY2_1o-r7BW_sCsQABE3BPc8ujagfBvq1jp_c2go1Ok_9P68BjO_32oP7NE3_uoqBu2_JoGrB2yQAoiH7203Ao6qMUpZMh-qMY2_1o-r7BWo9giQ1NDZ325q1YI3MBvuJOE_1zCPJNJ1Mx6q_nF_3OgH1h9ZMOg8ju7_1zmqJYJe_CvzOud_OPZq1B2PfBiH72F3s-DPuKa1MhszsBF3jo-ojBke3BHe72fyfODQMV9o3gsZJ2f3jx3qMzc69Cqe7jfZ32Cq1hAZSgsQ3hXyurOgMHaqIgszsBF3jo-ojBke3BHe72dgVP383u36_CgufzEZ325q3-JZSoiHfedgjx6Hc-y8AxizJgpysoj6cgIPR2y8jOR_Bz36cgI_MB-q9P2yp-6PMoWuMggQj2fgAo6QJBkQfBoqMDa_c2SHJNk1_V68B1p_OzCoJNk392-q9P2yp-6PMoWuMgsHBgtyfO6Q7BkQfBo8Bjp_c2go1NE1_uvzJuR_M2CoJOJqfBM1_7YUiFiP9oBrBY2gmUEUsnibm-xQcri6i-pPcOwQAowQA-wQAJibm-XP3Oig9-wQfgwy3zpUstaHmFiQSuWyMua9fVjrOYag9Ji6sUFbm-sy9zwq3zpUs2Qos1DHseDHpnOou7DUMNwyfVXgcBjy9zB9fVjraUE6_nDUMVi9RzBrRei6i-6UiFircYpPVYxQcri6i-srcowrfx5rVYOQSJibm-fg9-pq3YXUstiPsUibm-sQIupPcua9fBj9RyaUstho_J7oaFiyfV7g3P5rSBwrRuSgfupPVYxPIzaq3-OPc1i6BDiHpnOoZ-Pbm-FrMBsguYiq3ei6sJFHAnDUMP5y3hwq3ei6sUDUMg2QMVD9R-BQI-xQMWwy3zpyfYagZUEosyabsUfo_1dHAUF6AHF6ArDUSVOg9-N9R-BQI-xQMWwrfo5rM1i6snX6AnhH_JOHsr7oAUNHpUhHR7?management_type=1&keywords=iphone+13&dv=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Ftokohapedia%2Fnew-iphone-13-mini-128-256-512-starlight-midnight-blue-pink-red-red-128-gb%3FextParam%3Divf%253Dfalse%26src%3Dtopads&page=1&src=search&is_search=1&t=desktop&ob=23
Anti Gores Kamera Ring Kamera iPhone 13 Pro / Max 3 Kamera,iPointstorebandung,Bandung,Rp50.000,Terjual 40+,4.8,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_ehosHFo_Kpbm-xgVY789CBUsthbm-FQRo2PcB5QiUEoZFiPcBWgZUEH_yO6_eOo_yfoZFiyRCsUstNo_nDUMVj9RosQR-BUst7HAjX6_JRosjpHpURHpyOHAeDUSHp9fh5gaUEUMuNZM2jZJ2M33NGPMep_Mh-qMY2_1o-r7BW_sCsQABE3BPc8ujagfBvq1Bd_1H7HJNJypo6qjud_OzzP7Okqpz617BpZ3O7QcuygIgsQu-Myp-6PMoWu3Bvq1BRZ3BRq3-W69ugHBu2_fB-oV2WZ_uo8jOR_1HFHJNIz_-HuVVN3M2uPVBW3M2o1pCR_1PVoJOJ1_zquJ1O3jP-q1hAZSgsQ3hXyurOgB2IuSPyHMh0Z325q1OAZ9o-Q_BNyuPjrc-D69PsQ_B0gVP6HVKaQcW-qMY2_1o-r7BW69BxufzFyMFN8MVI69PyHMh0Z325q1OAZ9o-Qjyh3BxGouKp1MxqH7O2_fBG8MzIH_xMzRPdyjrNHfgU8c2gq1BpZ3N6qMUpZMhyHj2Nysoj8B2_Z_g-qjjp_Mj781YJ__V6zJJh_1zuHjOkZ3BHe72E3_UN8u23692qu7gN3_-Sq1Y2Z_CozcWO_OzVH7NkqR2o8jjp_92gH1OJ13BM1_7YUiFiP9oBrBY2gmUEUsnibm-xQcri6i-pPcOwQAVDQRribm-XP3Oig9-wQfgwy3zpUstaHmFiQSuWyMua9fVjrOYag9Ji6sUFbm-sy9zwq3zpUs2Qos1DosyDHpnRHV7DUMNwyfVXgcBjy9zB9fVjraUE6_nDUMVi9RzBrRei6i-6UiFircYpPVYxQcri6i-srcowrfx5rVYOQSJibm-fg9-pq3YXUstiPsUibm-sQIupPcua9fBj9RyaUstao_j7omFiyfV7g3P5rSBwrRuSgfupPVYxPIzaq3-OPc1i6BDiHpnOoZ-Pbm-FrMBsguYiq3ei6sjOHmFigfYxQVY2gmUEHiFigMBXy3hwrMuDrMVXqOYxgIosQR-BUstfo_HXoAyN6A1popjNoAH7oiFir9uBrSBwrMuDrMVXqOYpyfYagZUEHmdO6_ehoAKNHpHd6Ar76AJRwe?page=1&management_type=2&r=https%3A%2F%2Fwww.tokopedia.com%2Fipointstorebandung%2Fanti-gores-kamera-ring-kamera-iphone-13-pro-max-3-kamera-hitam%3FextParam%3Divf%253Dfalse%26src%3Dtopads&src=search&is_search=1&dv=desktop&t=desktop&keywords=iphone+13&ob=23
iBox iPhone 13 128GB DUAL Sim Nano / Mini Red Black Blue 128 not 12,Studio Ponsel,Jakarta Pusat,Rp11.560.000,Terjual 250+,4.9,https://www.tokopedia.com/studioponsel/ibox-iphone-13-128gb-dual-sim-nano-mini-red-black-blue-128-not-12-13-mini-single-midnight-black?extParam=ivf%3Dfalse%26src%3Dsearch
Apple iPhone 13 Pro Max 128GB | 256GB | 512GB | 1TB Garansi Resmi iBox,Universe Store,Jakarta Utara,Rp19.199.000,Terjual 500+,5.0,https://www.tokopedia.com/universestore/apple-iphone-13-pro-max-128gb-256gb-512gb-1tb-garansi-resmi-ibox-graphite-128gb?extParam=ivf%3Dfalse%26src%3Dsearch
IPHONE 13 PRO MAX 4G ULTIMATE FS HDC,WT Teknologi,Jakarta Barat,Rp1.950.000,Terjual 750+,4.8,https://www.tokopedia.com/wtteknologi/iphone-13-pro-max-4g-ultimate-fs-hdc-silver-ram-2gb-16gb?extParam=ivf%3Dfalse%26src%3Dsearch
"New iPhone 13 128 / 256 / 512 Starlight, Midnight, Blue, Pink, Red",New Rizkyapple,Jakarta Pusat,Rp11.480.000,Terjual 100+,4.9,https://www.tokopedia.com/newrizkyapple/new-iphone-13-128-256-512-starlight-midnight-blue-pink-red-mini-single-128-midnight?extParam=ivf%3Dfalse%26src%3Dsearch
NEW iPhone 128GB 256GB 512GB 12 Pro / Max Blue Gold Graphite 13 Silver,winselindo,Jakarta Utara,Rp15.900.000,Terjual 100+,4.9,https://www.tokopedia.com/winselindo/new-iphone-128gb-256gb-512gb-12-pro-max-blue-gold-graphite-13-silver-12-pro-single-128gb?extParam=ivf%3Dfalse%26src%3Dsearch
