Product Name,Seller,Location,Price,Sold,Rating,Link
Xiaomi 12 Lite 5G 8/256 GB Garansi Resmi - 8/256 Pink,duniagadgetku,Jakarta Barat,Rp5.599.000,Terjual 16,5.0,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_yFoAyFHpJabm-xgVY789CBUsthbm-FQRo2PcB5QiUEHZFiPcBWgZUEH_yO6_yFopnhoiFiyRCsUstRo_nDUMVj9RosQR-BUstp6AKXHpUN6AnF6AeR6_KR6_eDUSHp9fh5gaUEUMuNZM2jZJ2M33NGPMep_Mh-qMY2_3j7H1OkyR26zcPd_S2CH1OJz_-vucHaZ3BRqujp1SByH7ND3uxGqMVAZ_g-qBuO_7zCP7Nku926ucDF_S2s8JOk19B-q9P2y_-3o3ea69BqzsBE3_UN8u2_Z_g-qjV2_JoGP3Uao32q17jfZ326Q1N1u9xo8j-k_VPVP7YJz9z6z7BE3MjFo1O1qcBHu7N0_jPu8jOJyp-68BJO3Bo-r7BW69BxufzFyMFNqO2yeMgxuOV2_fB-P7B2PfBiH72F3s-DPuKpeSBiHBUh3_oZgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Ao6QfUpeMgxuOV2_fB-P7B2PfBs3VgDyfNDgMzIzMNs81jfZ3OR83-I6_oMZIxEgJrh6cgIPRxizpjpgjxdr77h6I2ozV1FgjxdqBB2Z9o-QjNkysoGQVKaZSBiHfzE3Bo-ojBk_9P6q_zE_OzoH7OkqpC6ucWd_Bzu8jB2PfBsHjNfyfO3gMHauMxsQ1N5Z325q1OEgpzHqjON_OzSP7OJgpC68MD7_S20HJBXHA7ibm-Orfua9fBjUstiHmUDUMVDgaUEUSo7QuYDHOYDHBYDHZUDUMNOQ3-BrBY5gBYxgIHi6sUFbm-XP3Oig9-wy3zp9R-BrZUEHsnDUMoxPVY2gIHi6BDfoZFaomFpHA179ZFiQBYsy3Njq3zxPcuwy3zpUstaHAnDUMVi9RzBrRei6i-6UiFircYpPVYxQcri6i-srcowrfx5rVYOQSJibm-fg9-pq3YXUstiPsUibm-sQIupPcua9fBj9RyaUsta6Aj7HiFiyfV7g3P5rSBwrRuSgfupPVYxPIzaq3-OPc1i6BDiHpnOom-Pbm-FrMBsguYiq3ei6srOHmFigfYxQVY2gmUEHiFigMBXy3hwrMuDrMVXqOYxgIosQR-BUstRoAJXopHaHp1do_UNopjhoaFir9uBrSBwrMuDrMVXqOYpyfYagZUEHmdNH_nFo_rR6AHhHsydHpVY?src=search&t=desktop&dv=desktop&is_search=1&management_type=1&page=1&ob=23&r=https%3A%2F%2Fwww.tokopedia.com%2Fduniagadgetku%2Fxiaomi-12-lite-5g-8-256-gb-garansi-resmi-8-256-pink%3FextParam%3Divf%253Dfalse%26src%3Dtopads&keywords=xiaomi
"Xiaomi Redmi 4X 2/16 GB, 3/32 GB, 4/64 GB",maigadget,Jakarta Selatan,Rp499.000,Terjual 250+,4.7,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_nfHsKN6_JObm-xgVY789CBUsthbm-FQRo2PcB5QiUEHiFiPcBWgZUEH_yO6_yFopnhoiFiyRCsUstdHAnDUMVj9RosQR-BUstp6ArXosjfopKNoAHhHAedoaFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBo8_zNZ3BRqujp1SByH7ND3uxGqMVAZ_g-qjO2_JoGrB2yQAoiH7203Ao6qMUpZMh-qMY2_1o-r7BWo9giQ1NDZ325q17a3_V6uJuE_1PoPVB1e_zo1pnF3326Q1h1qRxvz7B73_-zHV21_9P68Bjp_jzDQJB2PfBiH72F3s-DPuKa1MhszsBF3jo-ojBke3BHe72fyfODQMV9o3gsZJ2f3jx3qMzc69Cqe7jfZ32Cq1hAZSgsQ3hXyurOgMHaqIgszsBF3jo-ojBke3BHe72dgVP383u36_CgufzEZ325q3-JZSoiHfedgjx6Hc-y8AxizJgpysoj6cgIPR2y8jOR_BzZ6cgI_MB-q9P2yp-6PMoWuMggQj2fgAo6QJBkQfBo8j17_c2gP7OEqpzouVJa_jzCP7Y1e_V-q9P2yp-6PMoWuMgsHBgtyfO6Q7BkQfBo8Mrp_c2go1NkypzvuVVE_uzCHJYJyfBM1_7YUiFiP9oBrBY2gmUEUsnibm-xQcri6i-pPcOwQAowQA-wQAJibm-XP3Oig9-wQfgwy3zpUstaHmFiQSuWyMua9fVjrOYag9Ji6sUFbm-sy9zwq3zpUs2Qos1DHseDHpnOoV7DUMNwyfVXgcBjy9zB9fVjraUEHsnFbm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstiyRCs9RotQRCwP3NhUiFiPMuarfB5QiUEUSyaUiFiyfhOrRzBrBY2gVYfHiUEHsJh6AHDUMoxPcuSQR-N9RoOgfPBrRzwy9z7rMBiP9zBUs2QUsHFo_ei9ZFirI-2yfuwyMBjUstdHAnDUMP5y3hwq3ei6sUDUMg2QMVD9R-BQI-xQMWwy3zpyfYagZUEopHNbsKh6_1aHsjNH_UfosrDUSVOg9-N9R-BQI-xQMWwrfo5rM1i6snX6_ndHseao_KpHsr76AehHR7?src=search&is_search=1&page=1&r=https%3A%2F%2Fwww.tokopedia.com%2Fmaigadget%2Fxiaomi-redmi-4x-2-16-gb-3-32-gb-4-64-gb-2-16-gb-gold%3FextParam%3Divf%253Dfalse%26src%3Dtopads&management_type=1&keywords=xiaomi&ob=23&t=desktop&dv=desktop
XIAOMI REDMI 4A 2/16GB,allexo,Jakarta Barat,Rp440.000,Terjual 12,5.0,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_1OHA1FH_1Obm-xgVY789CBUsthbm-FQRo2PcB5QiUEHaFiPcBWgZUEH_yO6_yFopnhoiFiyRCsUsthHAnFbm-xgVYpyfYagZUEHpKFbsHfosyho_y7o_ea6mFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfB6q_zd_32-HJNJgpu68MDh_OzVoJOE33BHe72kgJxGgMHauMxsQ1N5Z325q1O2oAuvzVuR_S2zHjOk3_z6qB1a_S2VHJB2PfBxHByOgAUN8u2c692gHsBN3Bo-ojBke3BHe72OysUOqB2_Z_g-qjNW_Bzu8JOEeM2Hu7uR_7zVPJNIZ92qq_nO_uztq1h9_MW6zOuE_1zsHjNE1_uq17BpZ37N83V9gICiQAB03BxmgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Aom83Ua1sVgHO-MyuPzq1Y2Z9P-q9P2ysoGrVtaQIuyH7N5ysomgMV913Bvq1BRZ3BRq3oyuMhsQMhMgJPcQMoNZ_g-Q9PNyjrNHfgU8I2jzpJdgjPR8c-I6_oMZIxp__Jd8jOJu_CMZIxk33B-r7BX_M2iH72D3A-G83UpgI2q17jfZ32oP7NNoIPoqBJ7_92-H1Oke_Vo8MHOZ3BRq3Ha_SgsQugMyp-3qcoW_MY-qMY2_92SP7hk__-6qBBd_BzgHJN119Bve7tNUiFiP9oBrBY2gmUEUsnibm-xQcri6i-pPcOwQAowQA-wQAJibm-XP3Oig9-wQfgwy3zpUstaHmFiQSuWyMua9fVjrOYag9Ji6sUFbm-sy9zwq3zpUs2Qos1DHseDHpnOoV7DUMNwyfVXgcBjy9zB9fVjraUEHsnFbm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstiyRCs9RotQRCwP3NhUiFiPMuarfB5QiUEUSyaUiFiyfhOrRzBrBY2gVYfHiUEHs1hopyDUMoxPcuSQR-N9RoOgfPBrRzwy9z7rMBiP9zBUs2QUsHFo_ei9ZFirI-2yfuwyMBjUsthHAnFbm-SQfVD9fBjUstabm-Mq3NxQVYag3hay3N09fVjrfo5rM1i6srpomdpo_JNHAUNHpUR6AyObm-hP3ua8uYag3hay3N09RosQR-BUstFbsjpHAy7HsHfoseF6_HFH_xY?t=desktop&dv=desktop&src=search&ob=23&is_search=1&r=https%3A%2F%2Fwww.tokopedia.com%2Fallexo%2Fxiaomi-redmi-4a-2-16gb%3FextParam%3Divf%253Dfalse%26src%3Dtopads&keywords=xiaomi&page=1&management_type=1
XIAOMI REDMI 5A PRIME RAM 3/32 GB,Top Star Phonecell,Jakarta Barat,Rp555.000,Terjual 6,3.0,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_1NoprNopnRbm-xgVY789CBUsthbm-FQRo2PcB5QiUEomFiPcBWgZUEH_yO6_yFopnhoiFiyRCsUsthHAnFbm-xgVYpyfYagZUEHpKabsKaH_UdHpjNHp1FHA1DUSHp9fh5gaUEUMuNZM2jZJ2M33NGPMep_Mh-qMY2_3j7oJOEe9xvzcra_S2081NJu9BvzJOEZ3BRqujp1SByH7ND3uxGqMVAZ_g-qMoO_32VHjNJqpCvzVJh_92gP7YJZ_C-q9P2y_-3o3ea69BqzsBE3_UN8u2_Z_g-qjV2_JoGP3Uao32q17jfZ326Q1N1u9xo8j-k_VPVP7YJz9z6z7BE3MjFo1O1qcBHu7N0_jPu8jOJyp-68BJO3Bo-r7BW69BxufzFyMFNqO2yeMgxuOV2_fB-P7B2PfBiH72F3s-DPuKpeSBiHBUh3_oZgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Ao6QfUpeMgxuOV2_fB-P7B2PfBs3VgDyfNDgMzIzMNs81jfZ3OR83-I6_oMZIxEgJrh6cgIPRxizpjpgjxdr77h6I2ozV1FgjxdqBB2Z9o-QjNkysoGQVKaZSBiHfzE3Bo-ojBkZ_u68_eF_M2z8jNJgp-6zVVN_92SH7B2PfBsHjNfyfO3gMHauMxsQ1N5Z325q1OEgRBHqMPN_uz-oJOEqpuo8BuR_1zuq3gzv_7ibm-Orfua9fBjUstiHmUDUMVDgaUEUSo7QuYDHOYDHBYDHZUDUMNOQ3-BrBY5gBYxgIHi6sUFbm-XP3Oig9-wy3zp9R-BrZUEHsnDUMoxPVY2gIHi6BDfoZFaomFpHA179ZFiQBYsy3Njq3zxPcuwy3zpUstaHAnDUMVi9RzBrRei6i-6UiFircYpPVYxQcri6i-srcowrfx5rVYOQSJibm-fg9-pq3YXUstiPsUibm-sQIupPcua9fBj9RyaUstpopHOHmFiyfV7g3P5rSBwrRuSgfupPVYxPIzaq3-OPc1i6BDiHpnOom-Pbm-FrMBsguYiq3ei6sJFHAnDUMP5y3hwq3ei6sUDUMg2QMVD9R-BQI-xQMWwy3zpyfYagZUEopUNbsHNos1d6AJ7oAypopUDUSVOg9-N9R-BQI-xQMWwrfo5rM1i6snX6_nOHpJdopjfosH7osr7H97?t=desktop&keywords=xiaomi&src=search&management_type=1&is_search=1&page=1&ob=23&dv=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Ftopstarphonecell%2Fxiaomi-redmi-5a-prime-ram-3-32-gb%3FextParam%3Divf%253Dfalse%26src%3Dtopads
XIAOMI REDMI 10 5G 6/128GB | 4/64GB | 4/128GB GARANSI RESMI XIAOMI,GadgetIDN,Bekasi,Rp2.799.000,Terjual 0,No Ratings,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_yhopJR6_Hpbm-xgVY789CBUsthbm-FQRo2PcB5QiUEoZFiPcBWgZUEH_yO6_yFopnhoiFiyRCsUstfHAnDUMVj9RosQR-BUstpopjX6_HaopHf6AJdosHFoaFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoe7BpZ3O6HcoD692qu7gN3_-Sq1Y2Z92HqBuR_1zCP7OJe9PozJVR_1zCP7OJ13BHe72a3BxDHfUpZMWyH7NkysoGQJBkQfBoe7BpZ37OPM-W_Mh-qMY2__-gH1N1z92oz7O73uzCoJO_HACgqjNW_Vz08JYIZ9zgHBJF3BzoP7NE3_o6zchDZ3BRq3UpZSCqHMhO3A-ZQcoc69Cqe7jfZ32Cq1hAZSgsQ3hXyurOgMoUZSgqZVgkgJyNrV2AZ_g-qjV2_JoGPMoWQcNxupuMyp-tPMoc69Cqe7jfZ32Cq1hAZSxjuOgNguyNHVB9gI2-qMY2yjzGrfUpgAxMZJdFyBxd6c-JzSoiHfedgjPR8BxE_9P6uVUdgjP6q1B2PfBsHjNfyfO3gBBXZSgjH7NDZ325q1OkyRxHqB1F_92uHjNEu9Bo8Bjp_1zuHjB2PfBsHjNfyfO3gMHauMxsQ1N5Z325q1OEypuHqMWE_32s8jNkgRxvzVBE_1zsq3gzv_7ibm-Orfua9fBjUstiHmUDUMVDgaUEUSo7QuYDHOYDHBYDHZUDUMNOQ3-BrBY5gBYxgIHi6sUFbm-XP3Oig9-wy3zp9R-BrZUEHsnDUMoxPVY2gIHi6BDfoZFaomFpHA179ZFiQBYsy3Njq3zxPcuwy3zpUstaHAnDUMVi9RzBrRei6i-6UiFircYpPVYxQcri6i-srcowrfx5rVYOQSJibm-fg9-pq3YXUstiPsUibm-sQIupPcua9fBj9RyaUstp6A1pomFiyfV7g3P5rSBwrRuSgfupPVYxPIzaq3-OPc1i6BDiHpnOom-Pbm-FrMBsguYiq3ei6syFHmFigfYxQVY2gmUEHiFigMBXy3hwrMuDrMVXqOYxgIosQR-BUstRHseXopjaopydopHpHs1pomFir9uBrSBwrMuDrMVXqOYpyfYagZUEHmdNHArf6ArFosrN6A1OHpeRwe?t=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Fgadgetidn-1%2Fxiaomi-redmi-10-5g-6-128gb-4-128gb-garansi-resmi-xiaomi-indonesia-grey-4-128gb-tanpa-bonus%3FextParam%3Divf%253Dfalse%26src%3Dtopads&page=1&src=search&r_replacement=new&keywords=xiaomi&ob=23&dv=desktop&management_type=1&is_search=1
Xiaomi Redmi 9A 3/32 RAM 3GB ROM 32GB Garansi Resmi 1 Tahun,SONIC Gadgets,Jakarta Utara,Rp1.215.000,Terjual 250+,5.0,https://www.tokopedia.com/sonicgadgets/xiaomi-redmi-9a-3-32-ram-3gb-rom-32gb-garansi-resmi-1-tahun-grey-2-32gb?extParam=ivf%3Dfalse%26src%3Dsearch
XIAOMI REDMI 9C RAM 4 64 RAM 3 32 REDMI 9A RAM 3 32 RAM 2 32 GRS RESMI,ALFASTORE-,Tangerang,Rp1.215.000,Terjual 4 rb+,4.9,https://www.tokopedia.com/alfastore-1/xiaomi-redmi-9c-ram-4-64-ram-3-32-redmi-9a-ram-3-32-ram-2-32-grs-resmi-9a-2-32-nongift?extParam=ivf%3Dfalse%26src%3Dsearch
Xiaomi Poco M3 Pro 5G 4/64GB Garansi Resmi,Gudang-HP,Jakarta Pusat,Rp2.359.000,Terjual 1 rb+,4.9,https://www.tokopedia.com/gudang-hp/xiaomi-poco-m3-pro-5g-4-64gb-garansi-resmi-kuning?extParam=ivf%3Dfalse%26src%3Dsearch
Xiaomi Redmi Note 10s 8/128GB 6/64GB Garansi Resmi 6 64 GB 8 128 GB,Dewa Ponsel Rakyat,Jakarta Pusat,Rp2.494.000,Terjual 250+,4.8,https://www.tokopedia.com/dewaponselrakyat/xiaomi-redmi-note-10s-8-128gb-6-64gb-garansi-resmi-6-64-gb-8-128-gb-6gb-64gb-blue-non-bundle?extParam=ivf%3Dfalse%26src%3Dsearch
Xiaomi Redmi Note 10 Pro 8/128 GB Garansi Resmi,Gudang-HP,Jakarta Pusat,Rp3.552.000,Terjual 3 rb+,5.0,https://www.tokopedia.com/gudang-hp/xiaomi-redmi-note-10-pro-8-128-gb-garansi-resmi-broze?extParam=ivf%3Dfalse%26src%3Dsearch
